mes;semana;temas
Feb;Semana 1;Logística y Organización, Vida Social y Eventos
Feb;Semana 2;Presentaciones personales, Logística y Organización, Contenido Académico (Tesis y Seminarios)
Feb;Semana 3;Actualidad y Varios (Protestas), Logística y Organización (Entrega de talleres)
Feb;Semana 4;Contenido Académico (Liderazgo)
Mar;Semana 1;Contenido Académico (Desarrollo Sostenible), Logística y Organización (Talleres), Vida Social y Eventos (Celebración de cumpleaños)
Mar;Semana 2;Contenido Académico (Desarrollo Sostenible - Documental y Podcast), Vida Social y Eventos, Actualidad y Varios (Reportes de lluvia)
Mar;Semana 3;Contenido Académico (Desarrollo Sostenible - Paneles y Podcast), Logística y Organización (Clase virtual)
Mar;Semana 4;Contenido Académico (Competitividad y Marketing), Vida Social y Eventos (Integración)
Abr;Semana 1;Logística y Organización (Notas, Clase híbrida), Contenido Académico (Desarrollo Sostenible), Vida Social y Eventos (Planes de integración)
Abr;Semana 2;Vida Social y Eventos (Planes de integración), Logística y Organización (Clase virtual por marchas), Contenido Académico (General)
Abr;Semana 3;Vida Social y Eventos (Cancelación de planes)
Abr;Semana 4;Contenido Académico (General), Logística y Organización
May;Semana 1;Vida Social y Eventos (Integración y cumpleaños), Contenido Académico (Prospectiva Tecnológica), Logística y Organización (Clase)
May;Semana 2;Contenido Académico (Prospectiva Tecnológica), Vida Social y Eventos (Celebración día de la madre)
May;Semana 3;Logística y Organización (Inscripción a seminarios), Vida Social y Eventos (Celebración de cumpleaños)
May;Semana 4;Actualidad y Varios (Paro y manifestaciones), Logística y Organización (Clase virtual vs. presencial)
Jun;Semana 1;Contenido Académico (Innovación y Procesos), Vida Social y Eventos (Karaoke y celebración de cumpleaños)
Jun;Semana 2;Logística y Organización (Entrega de trabajos), Contenido Académico (Analítica), Vida Social y Eventos (Planes de integración)
Jun;Semana 3;Logística y Organización (Cambio de horario de clases), Contenido Académico (Analítica)
Jun;Semana 4;Vida Social y Eventos (Planes de viaje)
Jul;Semana 1;Logística y Organización (Inscripción de materias, Seminarios), Vida Social y Eventos (Planes y viaje académico)
Jul;Semana 2;Vida Social y Eventos (Plan Monserrate, Viaje académico), Contenido Académico (Seminarios)
Jul;Semana 3;Logística y Organización (Inscripción a cursos de Bienestar)
Jul;Semana 4;Contenido Académico (Seminarios)
Ago;Semana 1;Logística y Organización (Inicio de clases, Clases virtuales), Actualidad y Varios (Cierres viales)
Ago;Semana 2;Vida Social y Eventos (Cumpleaños y amigo secreto), Contenido Académico (General), Logística y Organización (Salón de clase)
Ago;Semana 3;Contenido Académico (General), Logística y Organización (Visita empresarial), Actualidad y Varios (Paro de transporte)
Ago;Semana 4;Vida Social y Eventos (Amigo secreto)
Sep;Semana 1;Vida Social y Eventos (Amigo secreto y endulzadas), Contenido Académico (Desarrollo de Negocios Digitales), Logística y Organización
Sep;Semana 2;Contenido Académico (General), Actualidad y Varios (Paro y movilidad), Logística y Organización (Visita empresarial)
Sep;Semana 3;Contenido Académico (Desarrollo de Negocios Digitales), Logística y Organización (Reprogramación de clase)
Sep;Semana 4;Vida Social y Eventos (Amigo secreto y celebración)
